fingerprint,delay,variance,times
083C52051140DB8AF770BD40C7C8883EFFF4CAF3,0.350279533,0.004863611,21
0841AF00F7AEA5B0F385FA276E8C18507A67091A,0.2933016,0.017417235,29
0863252662246FFF6914F380711C75DC4027BD75,0.309074567,0.01121425,6
08650593B6FC2CF72B9655541F0A0503729CA1E9,0.1882712,0.007238418,4
0866E73E6C5CD3EA71EDFD15C584D53F4B2DD2E3,0.243231,0.015352598,12
0875B818FAFCA380D712F102418C437EF2B8855A,0.138208044,4.94E-06,3
087F8B814456658967FE7CFAEEA380922590380D,0.628783,0.003084186,1
08A3FB66552432ED6E4E2A26868A933FBA28180C,0.208415587,0.005034772,15
08B1721C699C3EFA050F492A7A5F5E2EB4B18428,0.266461467,0.006869537,6
08B1B5E6778DA4673B664E16F1DF3C18C6151935,0.30524445,0.130210729,4
08B4888A6566F6BC5363423862F48529420AB9F7,0.17999575,0.004355987,8
08B705CAE3959305F200891CCE5483E071102AFA,0.294510886,0.006779143,7
08C1572C09F270010A277E58CDFBE270CBE2331B,0.337922388,0.005154775,16
08CB84956340C2DBD6E22DEA25CA53F750BB5AE1,0.285127744,0.006853952,18
08D62283728A0E004F9B893B71BB24C70AF52A74,0.304405055,0.004081107,22
08E431452B893D8D9BBFF8B76866C37CAA93D9A2,0.318302785,0.006590052,27
08E64079B97D9BA990A2DCAC105F9BBC3B2AE276,0.39633744,0.00562764,5
08EB63585761195E028A66BB5BEB4972131BF7BB,0.30810104,0.005012852,15
08F04D1262191DE2F5DD065AF347EF7725B3F0E9,0.339828194,0.015096482,35
08F90650CE12758841FBB3453EDDD2F9338BE5BC,0.329562982,0.00823502,11
08FE27F74EC48B4D7667EBFAF654E5151B9924F1,0.0871112,1.79E-05,1
090975875D1BBE53F6FF2ADCA8BA41C97DBB3E59,0.361819583,0.01291996,24
092E5E97AC7FE3FAA02B408EC529DAF90AD23E0B,0.3598594,0.001283039,2
0932F9009DCF32EC60FD52F975318D3F6E8E59F9,0.156031257,0.01446001,7
0939A7FBB544A75FAF3887254BCBC6E3B4CEB4C4,0.296441392,0.006039509,36
0947B12441F69611D7DF7FA94D9188F7AA2B79FF,0.198081075,0.00359906,24
094B8640B020BECC2AF842173EA06276CA67B08F,0.325530914,0.009847848,14
09505AFA25D17A3EC5D909CB66E8F1F786498422,0.269010978,0.00506258,9
0966CAEF8B1C858404532D6299A76A15D7FDEA00,0.216324333,0.014636448,3
096A1D7B1F949DBD95AAEF2E291806785A3B4BF4,0.46595405,0.004231399,4
09768BD9ACA211008713BA481E0B8EE3239A9F0B,0.23797896,0.00217028,5
097D8390A998FBEBDBDA80BAC7D86F8AE606E4A6,0.51204,0.011239902,1
098F98538A21A16332E8C4B724305C2A3496A467,0.5008226,0.007538136,2
099B9AE1A6598017462F5C0EBD78B15FCAC27D56,0.474549687,0.06373112,16
09AEBB996358FE22A268E71CDE038106F2B6EAE1,0.34010692,0.020082052,20
09B74F24111F0EAC083E4510411CB0CDA531239D,0.330057104,0.00416406,27
09BFE6A362D2CE435C45F99B56171B6DA486D0F1,0.29287996,0.009978818,10
09C375184DE999CE1B4AC034190F5A9F916479F9,0.313886287,0.137557734,39
09CA1957EC0671044DAD2EEA282A348FFD7D271E,0.310641956,0.003790155,9
09D0325A13F84891A279EB6DE6CED333BE0FE1EA,0.3830964,0.011682775,2
09E5621C0D7400FC18EF137A679F7FEB78F8650C,0.418983504,0.009910972,27
09F8F4D65E28641785260FBAB3E6A1F12697EDB4,0.407475567,0.0129746,6
09F9CD95B472256DFDFF666A0CFD82A3F3CE3514,0.341120874,0.023348044,43
09FAE2663AC8453DC7C1F62A86B662485F08F847,0.20944591,0.002283738,20
0A11C7546A1332412D1EBD13BD4C3D6A6644D7E0,0.223021663,0.049987876,16
0A14E1E57EC9F5E410D523B6DB5D7EC79B7C3DF4,0.237074878,0.004424817,18
0A1754593C3DBF5B5B35C04D608E37F28256B35F,0.0863416,0.000854436,1
0A2366980A2842D770EF8E136A7DA14876360447,0.286446717,0.018214146,29
0A3AAF530747D7034DBF88C518033A22827E3C46,0.13597116,6.94E-05,5
0A3C9129277CD52D7BDF0A94C23FDBCD5DE664BC,0.212338,0.001358315,1
0A42ECB653FD85D9517C21731D941BE0A3659E34,0.431120511,0.006592511,18
0A4C53B9D67874C2BAECA2C272BB61EC7A6F54B2,0.34279295,0.003937011,4
0A5000E5FF2977E0D236B9F5B47590D8888494DF,0.4557346,0.002915791,1
0A6F2E1CD40E9CAFE4444D19C4C5623D39E09347,0.20708145,0.003496527,4
0A76C0A0A721DDBC324B705ADBFC95FD806AE855,0.258073133,0.003641346,3
0A96A51DAF0877027FBCF4592FBC452DC469CA9A,0.327840082,0.010932771,17
0ABA99986CC96F80A273E3F08856137A72DEF31F,0.321052018,0.019309554,11
0ABC1EBFF50C8A58279AD07FBD73E183F9E00B86,0.250515333,0.005251214,3
0AC3C86BC9CA2A50C7762EF42ABC6D37575ACFFB,0.37351745,0.01236301,4
0ACF5BB9E37D33577F6C1AA9DEEB6E7EDDF8D2C0,0.292345945,0.028086136,33
0AE076CD2A4201BF2D90C325211A10D2C8DD6CE9,0.331567689,0.026854499,76
0AE7F5C9729B1C1055A745340BF3993F5F42062B,0.298750747,0.004461694,15
0AF3293D2AE809C9EEE6F13B7C9306BB07651C71,0.404788457,0.022014436,7
0AF982CC71A01D95E8959D763D0EC0E5A6C61244,0.3265761,0.010106622,2
0AFD832F09B6C2C9E0FE99E78B29E2ED325B0E54,0.284939013,0.014742048,31
0B041A1650BD8989F9187AE553C9DB41783F114B,0.217310662,0.007118344,13
0B06DD6A65C48EA79FC43031CBD93650B08A0661,0.259233282,0.004579139,39
0B1B66EB460B294E6B66F7F87D92D430347DEEE8,0.345109511,0.003916541,9
0B4190C676FAAD34EB2DCB9A288939476CEBCF32,0.321499693,0.006341066,30
0B45375A2CE8065E8A649D52CC35F39D128745A8,0.4028328,0.017867935,3
0B5B8E679E70C7E0465E541EEF3013082B4880E0,0.4004372,0.007400492,2
0B5BC76B3BE7553B229FD3E73F26AED41C31DD19,0.26124348,0.006354433,5
0B5D8AB5DAD8D7AAC1BFFD98DBA4BEC3D85DB2DB,0.455493167,0.039682505,18
0B5E5E70FFEA9C7F9FFD13B8E16916A608F3E9EB,0.3119159,0.056718018,6
0B7BC0BF2C1186C1C6C23742141373B173DA0DA6,0.290587481,0.003681493,32
0B8EF5F5016926F4245350FB37914E30BF36C528,0.29412825,0.008498915,4
0B946CCC4CFA8DCE61B9B4076DF91B25695B24EE,0.269967915,0.016436747,26
0BA1C8F26AFAD3FAEF3B6A228F97382D115027B9,0.314823872,0.004901363,25
